1 NONTERMINAL NP+ADVP
254 NONTERMINAL VP+VERB
65 NONTERMINAL SBAR
3405 NONTERMINAL SBARQ
81 NONTERMINAL ADJP
30 NONTERMINAL WHADVP
1808 NONTERMINAL DET
1 NONTERMINAL S+VP+VERB
2 NONTERMINAL NP+QP
2 NONTERMINAL NP+S
11 NONTERMINAL SBAR+S
3 NONTERMINAL NP+X
3 NONTERMINAL NP+NP
251 NONTERMINAL SQ+VP
68 NONTERMINAL CONJ
569 NONTERMINAL WHNP
301 NONTERMINAL WHADVP+ADV
85 NONTERMINAL S
1 NONTERMINAL NX
1024 NONTERMINAL PP
3852 NONTERMINAL NOUN
4 NONTERMINAL NP+ADJ
27 NONTERMINAL PRT+PRT
280 NONTERMINAL PRT
1 NONTERMINAL WHNP+WHNP
2032 NONTERMINAL .
1 NONTERMINAL PP+NOUN
24 NONTERMINAL WHPP
103 NONTERMINAL NUM
50 NONTERMINAL NP+NUM
4813 NONTERMINAL NP
90 NONTERMINAL S+VP
25 NONTERMINAL NP+DET
244 NONTERMINAL ADV
16 NONTERMINAL VP+NOUN
19 NONTERMINAL ADJP+ADJ
1010 NONTERMINAL ADP
1 NONTERMINAL NP+PP
1 NONTERMINAL PP+PP+ADP
2 NONTERMINAL ADVP+ADJ
803 NONTERMINAL VP
6 NONTERMINAL PP+PRT
817 NONTERMINAL WHNP+PRON
2349 NONTERMINAL VERB
1 NONTERMINAL NP+S+VP
17 NONTERMINAL X
656 NONTERMINAL NP+NOUN
916 NONTERMINAL ADJ
14 NONTERMINAL ADVP
10 NONTERMINAL SBAR+S+VP
7 NONTERMINAL QP
23 NONTERMINAL WHNP+DET
2081 NONTERMINAL SQ
38 NONTERMINAL ADVP+ADV
2 NONTERMINAL NP+VERB
124 NONTERMINAL WHADJP
114 NONTERMINAL NP+PRON
73 NONTERMINAL PRON
1 NONTERMINAL NP+SBAR+S
1 NONTERMINAL VP+S+VP
1 NONTERMINAL SBAR+VP
113 NONTERMINAL PP+ADP
3 UNARYRULE . <
7 UNARYRULE NOUN war
4 UNARYRULE ADV how
42 UNARYRULE NOUN year
5 UNARYRULE ADJ last
6 UNARYRULE NOUN language
5 UNARYRULE NOUN years
2 UNARYRULE NOUN top
5 UNARYRULE NOUN William
3 UNARYRULE PRON I
2 UNARYRULE NOUN power
4 UNARYRULE NP+NOUN Liberty
10 UNARYRULE VERB become
76 UNARYRULE NUM _RARE_
5 UNARYRULE NOUN song
17 UNARYRULE NOUN population
1 UNARYRULE NOUN France
156 UNARYRULE PRT <s
1 UNARYRULE NP+NOUN sport
5 UNARYRULE ADJ South
1 UNARYRULE NP+VERB called
6 UNARYRULE NOUN America
5 UNARYRULE NOUN battle
5 UNARYRULE NOUN group
17 UNARYRULE VERB Name
2 UNARYRULE NOUN French
78 UNARYRULE ADP for
8 UNARYRULE NOUN colors
3 UNARYRULE NOUN animals
5 UNARYRULE NOUN show
5 UNARYRULE ADJ common
2 UNARYRULE NOUN earth
4 UNARYRULE NOUN mountain
5 UNARYRULE VERB said
16 UNARYRULE NOUN United
14 UNARYRULE NOUN color
1 UNARYRULE NOUN Spanish
8 UNARYRULE NOUN character
6 UNARYRULE ADP into
7 UNARYRULE NOUN abbreviation
13 UNARYRULE NOUN New
3 UNARYRULE ADJ National
12 UNARYRULE NOUN War
31 UNARYRULE ADVP+ADV _RARE_
1 UNARYRULE PRT+PRT for
2 UNARYRULE VP+VERB become
7 UNARYRULE VP+VERB mean
3 UNARYRULE VP+VERB died
1 UNARYRULE ADV Why
5 UNARYRULE NOUN percentage
1 UNARYRULE NP+VERB _RARE_
12 UNARYRULE ADV far
15 UNARYRULE NP+PRON it
31 UNARYRULE VERB <s
2 UNARYRULE VERB cost
15 UNARYRULE ADP with
9 UNARYRULE ADV much
108 UNARYRULE WHADVP+ADV When
3 UNARYRULE NOUN British
1 UNARYRULE VP+VERB start
5 UNARYRULE NOUN Lincoln
1 UNARYRULE ADJ capital
1 UNARYRULE VERB name
6 UNARYRULE NP+PRON they
2 UNARYRULE VP+VERB run
1 UNARYRULE DET that
6 UNARYRULE PP+PRT to
2 UNARYRULE NP+NUM one
7 UNARYRULE NOUN State
16 UNARYRULE ADJ largest
2 UNARYRULE VERB built
7 UNARYRULE NOUN term
4 UNARYRULE NP+NOUN Canada
2 UNARYRULE PP+ADP at
1 UNARYRULE VP+VERB get
10 UNARYRULE VERB play
19 UNARYRULE VERB find
50 UNARYRULE NOUN city
2 UNARYRULE NP+NOUN Africa
4 UNARYRULE PP+ADP on
21 UNARYRULE ADV most
7 UNARYRULE PRT+PRT _RARE_
10 UNARYRULE ADJ old
8 UNARYRULE ADJ tall
2 UNARYRULE ADV about
24 UNARYRULE PP+ADP for
6 UNARYRULE NOUN bird
2 UNARYRULE NOUN National
1 UNARYRULE NOUN start
8 UNARYRULE NP+PRON _RARE_
17 UNARYRULE DET _RARE_
3 UNARYRULE PP+ADP by
4 UNARYRULE VERB painted
39 UNARYRULE ADP _RARE_
10 UNARYRULE VERB take
13 UNARYRULE NOUN people
2 UNARYRULE NP+NOUN French
5 UNARYRULE ADVP+ADV first
5 UNARYRULE VERB given
7 UNARYRULE NOUN York
8 UNARYRULE ADJ famous
110 UNARYRULE PRT to
15 UNARYRULE NOUN president
14 UNARYRULE ADJ much
13 UNARYRULE NOUN President
10 UNARYRULE NOUN Day
2 UNARYRULE WHADVP+ADV _RARE_
3 UNARYRULE NP+NOUN Australia
20 UNARYRULE VERB were
7 UNARYRULE ADJ only
1 UNARYRULE VP+VERB painted
12 UNARYRULE VERB be
22 UNARYRULE ADJ American
3 UNARYRULE PRON what
18 UNARYRULE WHNP+DET that
4 UNARYRULE NOUN animal
12 UNARYRULE WHADVP+ADV when
5 UNARYRULE NOUN Johnson
1 UNARYRULE VP+VERB write
1 UNARYRULE NP+NOUN average
1 UNARYRULE VERB born
9 UNARYRULE PRT+PRT out
5 UNARYRULE NP+NOUN place
1 UNARYRULE PP+ADP as
7 UNARYRULE NOUN point
5 UNARYRULE NOUN Mississippi
14 UNARYRULE PRON its
8 UNARYRULE NOUN names
6 UNARYRULE NOUN West
5 UNARYRULE VERB located
1 UNARYRULE ADJ mountain
9 UNARYRULE ADJ highest
69 UNARYRULE ADP on
151 UNARYRULE WHNP+PRON Who
8 UNARYRULE ADP that
149 UNARYRULE ADV How
9 UNARYRULE ADJ real
7 UNARYRULE VERB died
6 UNARYRULE NOUN flight
17 UNARYRULE PP+ADP of
1 UNARYRULE NOUN Texas
247 UNARYRULE VERB was
1 UNARYRULE VP+VERB make
4 UNARYRULE VP+VERB work
1 UNARYRULE VERB open
5 UNARYRULE NOUN star
69 UNARYRULE ADJ many
3 UNARYRULE NOUN Australia
5 UNARYRULE NOUN birthstone
7 UNARYRULE VP+VERB have
1 UNARYRULE VP+VERB find
5 UNARYRULE PP+ADP into
2 UNARYRULE VP+VERB use
6 UNARYRULE ADJ top
5 UNARYRULE ADP out
5 UNARYRULE ADJ tallest
15 UNARYRULE PRON his
1 UNARYRULE NP+NOUN battle
1 UNARYRULE S+VP+VERB _RARE_
2 UNARYRULE ADVP+ADJ _RARE_
1 UNARYRULE ADJP+ADJ open
1695 UNARYRULE . ?
4 UNARYRULE NOUN Africa
667 UNARYRULE VERB is
1 UNARYRULE VP+VERB used
20 UNARYRULE ADP by
7 UNARYRULE NOUN dog
12 UNARYRULE VERB come
29 UNARYRULE NOUN state
6 UNARYRULE NOUN governor
6 UNARYRULE NOUN Tower
6 UNARYRULE WHNP+PRON who
11 UNARYRULE NOUN body
10 UNARYRULE NOUN University
4 UNARYRULE ADJ North
1 UNARYRULE NOUN light
5 UNARYRULE NOUN rate
11 UNARYRULE NOUN origin
2 UNARYRULE ADV only
78 UNARYRULE VERB do
7 UNARYRULE PRON _RARE_
16 UNARYRULE VP+NOUN mean
1 UNARYRULE NOUN England
4 UNARYRULE NP+NOUN light
15 UNARYRULE NOUN States
17 UNARYRULE WHADVP+ADV Why
272 UNARYRULE ADP in
4 UNARYRULE NP+NOUN France
89 UNARYRULE NOUN name
1 UNARYRULE NP+NOUN Mississippi
3 UNARYRULE NOUN place
8 UNARYRULE NOUN book
7 UNARYRULE VP+VERB built
9 UNARYRULE NP+NOUN water
8 UNARYRULE NOUN car
9 UNARYRULE NOUN film
8 UNARYRULE VP+VERB invented
1 UNARYRULE PRON it
2 UNARYRULE ADV Where
10 UNARYRULE VERB say
4 UNARYRULE NP+NOUN Spain
5 UNARYRULE NOUN Vietnam
6 UNARYRULE NOUN school
4 UNARYRULE NP+NOUN power
14 UNARYRULE VERB called
7 UNARYRULE NOUN actor
6 UNARYRULE NOUN George
5 UNARYRULE NOUN difference
8 UNARYRULE ADP between
5 UNARYRULE NOUN eye
1 UNARYRULE NP+NOUN countries
11 UNARYRULE VERB make
21 UNARYRULE VP+VERB die
5 UNARYRULE NUM one
5 UNARYRULE NOUN South
1 UNARYRULE NP+NOUN Vietnam
1 UNARYRULE NP+NUM two
14 UNARYRULE VERB used
5 UNARYRULE NOUN party
5 UNARYRULE PRON my
1 UNARYRULE NOUN I
5 UNARYRULE NOUN American
5 UNARYRULE ADJ European
1 UNARYRULE NOUN run
6 UNARYRULE NOUN Washington
118 UNARYRULE . ``
198 UNARYRULE DET a
37 UNARYRULE ADV _RARE_
2 UNARYRULE WHNP+DET which
106 UNARYRULE VP+VERB _RARE_
7 UNARYRULE . _RARE_
653 UNARYRULE WHNP+PRON What
5 UNARYRULE NOUN house
19 UNARYRULE VERB get
1 UNARYRULE NP+NOUN school
40 UNARYRULE PP+ADP in
1 UNARYRULE PRT+PRT on
5 UNARYRULE NP+NOUN Earth
1 UNARYRULE VERB mean
6 UNARYRULE ADJ high
3 UNARYRULE ADJ long
1 UNARYRULE VP+VERB fear
5 UNARYRULE ADP before
2 UNARYRULE NP+NOUN animals
23 UNARYRULE VP+VERB born
5 UNARYRULE NOUN ball
5 UNARYRULE WHNP+PRON what
1 UNARYRULE VP+VERB killed
3 UNARYRULE VP+VERB live
2 UNARYRULE NP+NOUN office
6 UNARYRULE NUM four
7 UNARYRULE ADJ British
5 UNARYRULE NOUN address
118 UNARYRULE . <<
126 UNARYRULE VERB are
